Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
1,Yan Gomes,30,C,2.7,112,435,403,52,107,26,0,16,48,0,0,21,119,.266,.313,.449,.762,103,.335,105,181,4,8,0,3,2,*2/HD,AS
2,Yonder Alonso*,31,1B,1.5,145,574,516,64,129,19,0,23,83,0,0,51,123,.250,.317,.421,.738,98,.323,96,217,10,2,0,5,1,*3/HD,
3,Jason Kipnis*,31,2B,1.2,147,601,530,65,122,28,1,18,75,7,1,60,112,.230,.315,.389,.704,90,.317,91,206,5,7,1,3,1,*48/HD,
4,Francisco Lindor#,24,SS,7.2,158,745,661,129,183,42,2,38,92,25,10,70,107,.277,.352,.519,.871,132,.375,133,343,5,8,3,3,7,*6/D,"AS,MVP-6,SS"
5,José Ramírez#,25,3B,7.5,157,698,578,110,156,38,4,39,105,34,6,106,80,.270,.387,.552,.939,151,.403,149,319,2,8,0,6,15,*54/D,"AS,MVP-3,SS"
6,Michael Brantley*,31,LF,3.8,143,631,570,89,176,36,2,17,76,12,3,48,60,.309,.364,.468,.832,124,.368,127,267,15,5,1,6,0,*7/DH,AS
7,Greg Allen#,25,CF,0.4,91,291,265,36,68,11,3,2,20,21,4,14,58,.257,.310,.343,.654,77,.307,77,91,5,7,4,1,1,89H/7D,
8,Melky Cabrera#,33,RF,-0.1,78,278,250,28,70,17,0,6,39,1,1,20,38,.280,.335,.420,.755,103,.335,106,105,10,3,0,5,0,9/H7D,
9,Edwin Encarnación,35,DH,1.9,137,579,500,74,123,16,1,32,107,3,0,63,132,.246,.336,.474,.810,116,.355,118,237,14,8,0,7,2,*D3,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
10,Brandon Guyer,32,RF,-0.2,103,221,194,25,40,11,0,7,27,1,1,15,48,.206,.300,.371,.671,81,.303,83,72,5,11,1,0,0,9H7/81D,
11,Rajai Davis,37,OF,-0.4,101,216,196,33,44,6,1,1,6,21,7,11,48,.224,.278,.281,.559,53,.269,51,55,2,4,4,1,0,8H7D/9,
12,Roberto Pérez,29,C,-0.5,62,210,179,16,30,9,1,2,19,1,0,21,70,.168,.256,.263,.519,42,.250,41,47,6,1,7,2,0,2/HD,
13,Tyler Naquin*,27,RF,0.5,61,183,174,22,46,7,0,3,23,1,1,6,42,.264,.295,.356,.651,76,.294,76,62,1,2,0,1,1,98H/7D,
14,Erik González,26,IF,0.7,81,143,136,17,36,10,1,1,16,3,0,5,34,.265,.301,.375,.676,82,.316,87,51,0,2,0,0,0,45H6/3D,
15,Yandy Díaz,26,DH,0.3,39,120,109,15,34,5,2,1,15,0,0,11,19,.312,.375,.422,.797,116,.354,118,46,6,0,0,0,1,D/35H,
16,Bradley Zimmer*,25,CF,0.1,34,114,106,14,24,5,0,2,9,4,1,7,44,.226,.281,.330,.611,65,.273,58,35,1,1,0,0,0,8/H,
17,Lonnie Chisenhall*,29,RF,0.3,29,95,84,11,27,6,1,1,9,1,0,8,12,.321,.394,.452,.846,129,.369,128,38,2,2,1,0,1,9/H,
18,Josh Donaldson,32,3B,0.4,16,60,50,8,14,3,0,3,7,0,0,10,10,.280,.400,.520,.920,147,.390,144,26,2,0,0,0,0,5/DH,
