Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
1,Trent Thornton,25,SP,1.2,6,9,.400,4.84,32,29,0,0,0,0,154.1,156,87,83,24,61,0,149,5,0,5,677,94,4.59,1.406,9.1,1.4,3.6,8.7,2.44,
2,Marcus Stroman,28,SP,2.8,6,11,.353,2.96,21,21,0,0,0,0,124.2,118,50,41,10,35,0,99,0,0,4,513,153,3.51,1.227,8.5,0.7,2.5,7.1,2.83,AS
3,Aaron Sanchez,26,SP,-0.6,3,14,.176,6.07,23,23,0,0,0,0,112.2,131,82,76,15,59,2,99,10,0,7,524,75,5.02,1.686,10.5,1.2,4.7,7.9,1.68,
4,Jacob Waguespack,25,SP,0.7,5,5,.500,4.38,16,13,0,0,0,0,78.0,75,43,38,12,29,0,63,5,0,2,335,104,4.91,1.333,8.7,1.4,3.3,7.3,2.17,
5,Clay Buchholz,34,SP,-0.5,2,5,.286,6.56,12,12,0,0,0,0,59.0,72,44,43,13,16,1,39,1,0,1,254,69,5.62,1.492,11.0,2.0,2.4,5.9,2.44,
6,Wilmer Font,29,SP,0.8,2,3,.400,3.66,23,14,2,0,0,0,39.1,34,16,16,7,11,1,53,1,0,0,162,125,3.75,1.144,7.8,1.6,2.5,12.1,4.82,
7,Ken Giles,28,CL,2.3,2,3,.400,1.87,53,0,44,0,0,23,53.0,36,11,11,5,17,1,83,0,0,2,208,244,2.27,1.000,6.1,0.8,2.9,14.1,4.88,
8,Sam Gaviglio,29,RP,0.5,4,2,.667,4.61,52,0,9,0,0,0,95.2,85,51,49,18,22,0,88,4,1,0,392,98,4.64,1.118,8.0,1.7,2.1,8.3,4.00,
9,Derek Law,28,RP,-0.1,1,2,.333,4.90,58,4,18,0,0,5,60.2,61,36,33,8,40,3,67,3,0,7,285,93,4.85,1.665,9.0,1.2,5.9,9.9,1.68,
10,Tim Mayza*,27,RP,0.1,1,3,.250,4.91,68,0,5,0,0,0,51.1,45,29,28,8,27,2,55,1,0,4,227,93,4.73,1.403,7.9,1.4,4.7,9.6,2.04,
11,Joe Biagini,29,RP,0.6,3,1,.750,3.78,50,0,11,0,0,1,50.0,50,22,21,8,17,3,50,1,0,2,212,121,4.37,1.340,9.0,1.4,3.1,9.0,2.94,
12,Thomas Pannone*,25,,-0.5,3,6,.333,6.16,37,7,8,0,0,0,73.0,73,51,50,13,31,1,69,6,0,6,325,74,5.16,1.425,9.0,1.6,3.8,8.5,2.23,
13,Daniel Hudson,32,,1.0,6,3,.667,3.00,45,1,11,0,0,2,48.0,38,18,16,5,23,0,48,3,0,1,207,152,4.19,1.271,7.1,0.9,4.3,9.0,2.09,
14,Clayton Richard*,35,,-0.3,1,5,.167,5.96,10,10,0,0,0,0,45.1,53,33,30,9,18,0,22,4,3,3,201,77,6.28,1.566,10.5,1.8,3.6,4.4,1.22,
15,Justin Shafer,26,,0.3,2,1,.667,3.86,34,0,11,0,0,1,39.2,41,19,17,6,25,4,39,1,0,1,182,118,5.18,1.664,9.3,1.4,5.7,8.8,1.56,
16,Elvis Luciano,19,,0.1,1,0,1.000,5.35,25,0,9,0,0,0,33.2,36,20,20,4,24,1,27,3,0,4,159,85,5.56,1.782,9.6,1.1,6.4,7.2,1.13,
17,Sean Reid-Foley,23,,0.0,2,4,.333,4.26,9,6,0,0,0,0,31.2,33,20,15,5,21,0,28,2,0,3,150,107,5.68,1.705,9.4,1.4,6.0,8.0,1.33,
18,Matt Shoemaker,32,,1.1,3,0,1.000,1.57,5,5,0,0,0,0,28.2,16,7,5,3,9,0,24,1,0,1,108,292,3.95,0.872,5.0,0.9,2.8,7.5,2.67,
19,Edwin Jackson,35,,-1.6,1,5,.167,11.12,8,5,0,0,0,0,28.1,49,41,35,12,13,0,19,2,0,3,144,41,8.97,2.188,15.6,3.8,4.1,6.0,1.46,
20,T.J. Zeuch,23,,0.3,1,2,.333,4.76,5,3,0,0,0,0,22.2,22,13,12,2,11,0,20,0,0,2,99,96,4.05,1.456,8.7,0.8,4.4,7.9,1.82,
21,Jason Adam,27,,0.5,3,0,1.000,2.91,23,0,2,0,0,0,21.2,15,8,7,1,10,1,18,3,2,1,91,158,3.95,1.154,6.2,0.4,4.2,7.5,1.80,
22,Ryan Tepera,31,,0.0,0,2,.000,4.98,23,1,7,0,0,0,21.2,20,12,12,5,8,2,14,0,0,2,91,92,6.03,1.292,8.3,2.1,3.3,5.8,1.75,
23,Brock Stewart,27,,-0.7,4,0,1.000,8.31,10,0,0,0,0,0,21.2,28,21,20,9,6,0,16,3,0,1,103,55,8.38,1.569,11.6,3.7,2.5,6.6,2.67,
24,Nick Kingham,27,,0.5,3,1,.750,3.00,11,0,2,0,0,0,21.0,24,7,7,4,8,1,14,0,0,2,89,153,5.50,1.524,10.3,1.7,3.4,6.0,1.75,
25,Buddy Boshers*,31,,0.2,0,3,.000,4.05,28,1,6,0,0,0,20.0,20,10,9,3,10,0,26,1,0,2,91,114,4.21,1.500,9.0,1.4,4.5,11.7,2.60,
26,David Phelps,32,,0.3,0,0,,3.63,17,1,1,0,0,0,17.1,14,7,7,3,7,1,18,1,0,1,71,127,4.77,1.212,7.3,1.6,3.6,9.3,2.57,
27,Zack Godley,29,,0.2,1,0,1.000,3.94,6,0,1,0,0,0,16.0,15,7,7,2,7,0,12,1,0,0,69,117,4.84,1.375,8.4,1.1,3.9,6.8,1.71,
28,Jordan Romano,26,,-0.4,0,2,.000,7.63,17,0,2,0,0,0,15.1,17,14,13,4,9,0,21,4,0,0,75,61,6.41,1.696,10.0,2.3,5.3,12.3,2.33,
29,Javy Guerra,33,,0.2,0,0,,3.86,11,0,6,0,0,1,14.0,12,6,6,1,5,1,15,1,0,0,59,120,3.29,1.214,7.7,0.6,3.2,9.6,3.00,
30,Anthony Kay*,24,,0.0,1,0,1.000,5.79,3,2,0,0,0,0,14.0,15,9,9,0,5,0,13,1,0,1,63,80,2.64,1.429,9.6,0.0,3.2,8.4,2.60,
31,Neil Ramírez,30,,0.0,0,0,,5.40,6,1,0,0,0,0,8.1,8,5,5,2,6,0,6,0,0,1,37,87,7.05,1.680,8.6,2.2,6.5,6.5,1.00,
32,Ryan Borucki*,25,,-0.4,0,1,.000,10.80,2,2,0,0,0,0,6.2,15,10,8,2,6,0,6,0,0,0,40,44,8.01,3.150,20.3,2.7,8.1,8.1,1.00,
33,Ryan Feierabend*,33,,-0.3,0,1,.000,11.12,2,1,1,1,0,0,5.2,11,7,7,2,1,0,4,0,0,1,29,43,6.92,2.118,17.5,3.2,1.6,6.4,4.00,
34,Luke Maile,28,,0.1,0,0,,0.00,2,0,2,0,0,0,2.0,1,0,0,0,0,0,3,1,0,0,8,,1.71,0.500,4.5,0.0,0.0,13.5,,
35,Ryan Dull,29,,0.0,0,0,,6.75,1,0,1,0,0,0,1.1,1,1,1,1,0,0,3,0,0,0,5,84,8.46,0.750,6.8,6.8,0.0,20.3,,
