Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
1,Zack Wheeler,31,SP,7.5,14,10,.583,2.78,32,32,0,3,2,0,213.1,169,72,66,16,46,1,247,8,0,6,849,150,2.59,1.008,7.1,0.7,1.9,10.4,5.37,"AS,CYA-2,MVP-19"
2,Aaron Nola,28,SP,2.5,9,9,.500,4.63,32,32,0,1,1,0,180.2,165,95,93,26,39,1,223,9,1,0,749,90,3.37,1.129,8.2,1.3,1.9,11.1,5.72,
3,Zach Eflin,27,SP,2.0,4,7,.364,4.17,18,18,0,0,0,0,105.2,116,52,49,15,16,2,99,3,0,2,442,100,3.68,1.249,9.9,1.3,1.4,8.4,6.19,
4,Vince Velasquez,29,SP,0.1,3,6,.333,5.95,21,17,1,0,0,0,81.2,76,55,54,17,45,2,85,4,0,2,361,70,5.59,1.482,8.4,1.9,5.0,9.4,1.89,
5,Matt Moore*,32,SP,-0.6,2,4,.333,6.29,24,13,5,0,0,0,73.0,78,54,51,15,38,4,63,2,0,3,334,67,5.76,1.589,9.6,1.8,4.7,7.8,1.66,
6,Kyle Gibson,33,SP,0.3,4,6,.400,5.09,12,11,0,0,0,0,69.0,66,40,39,8,23,2,61,3,1,0,294,82,4.04,1.290,8.6,1.0,3.0,8.0,2.65,AS
Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
7,Héctor Neris,32,CL,1.2,4,7,.364,3.63,74,0,29,0,0,12,74.1,55,34,30,12,32,3,98,4,1,4,310,115,4.08,1.170,6.7,1.5,3.9,11.9,3.06,
8,Connor Brogdon,26,RP,1.0,5,4,.556,3.43,56,1,8,0,0,1,57.2,47,27,22,6,18,2,50,1,0,2,235,122,3.78,1.127,7.3,0.9,2.8,7.8,2.78,
9,José Alvarado*,26,RP,0.3,7,1,.875,4.20,64,0,10,0,0,5,55.2,42,30,26,5,47,5,68,7,1,9,251,100,4.80,1.599,6.8,0.8,7.6,11.0,1.45,
10,Archie Bradley,28,RP,0.7,7,3,.700,3.71,53,0,11,0,0,2,51.0,51,24,21,5,22,1,40,3,0,1,224,113,4.35,1.431,9.0,0.9,3.9,7.1,1.82,
11,Sam Coonrod,28,RP,0.4,2,2,.500,4.04,42,2,7,0,0,2,42.1,41,21,19,5,15,1,48,3,0,4,185,104,3.71,1.323,8.7,1.1,3.2,10.2,3.20,
Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
12,Ranger Suárez*,25,,5.6,8,5,.615,1.36,39,12,13,1,1,4,106.0,73,20,16,4,33,3,107,5,0,1,418,308,2.72,1.000,6.2,0.3,2.8,9.1,3.24,
13,Chase Anderson,33,,-0.3,2,4,.333,6.75,14,9,2,0,0,0,48.0,51,36,36,10,20,1,35,3,0,0,215,62,5.86,1.479,9.6,1.9,3.8,6.6,1.75,
14,Bailey Falter*,24,,0.0,2,1,.667,5.61,22,1,6,0,0,0,33.2,34,21,21,5,6,0,34,2,0,2,139,75,3.79,1.188,9.1,1.3,1.6,9.1,5.67,
15,Brandon Kintzler,36,,-0.3,2,1,.667,6.37,29,1,6,0,0,0,29.2,45,23,21,7,8,2,22,1,0,0,141,66,5.66,1.787,13.7,2.1,2.4,6.7,2.75,
16,Spencer Howard,24,,0.0,0,2,.000,5.72,11,7,1,0,0,0,28.1,25,19,18,2,17,0,31,3,0,2,127,74,4.02,1.482,7.9,0.6,5.4,9.8,1.82,
17,Enyel De Los Santos,25,,-0.7,1,1,.500,6.75,26,0,10,0,0,0,28.0,34,28,21,7,14,3,42,3,0,5,137,62,5.24,1.714,10.9,2.3,4.5,13.5,3.00,
18,David Hale,33,,-0.2,0,2,.000,6.41,17,1,8,0,0,0,26.2,30,20,19,5,9,1,21,1,0,2,116,66,5.16,1.463,10.1,1.7,3.0,7.1,2.33,
19,Ian Kennedy,36,,0.3,3,1,.750,4.13,23,0,19,0,0,10,24.0,18,12,11,7,10,1,27,2,0,0,102,102,6.21,1.167,6.8,2.6,3.8,10.1,2.70,
20,J.D. Hammer,26,,0.1,1,1,.500,4.95,20,0,4,0,0,0,20.0,21,11,11,3,11,1,22,2,0,1,94,86,4.87,1.600,9.5,1.4,5.0,9.9,2.00,
21,Cristopher Sánchez*,24,,0.0,1,0,1.000,4.97,7,1,0,0,0,0,12.2,16,8,7,1,7,0,13,0,0,0,59,86,3.80,1.816,11.4,0.7,5.0,9.2,1.86,
