Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
1,Adley Rutschman#,24,C,5.4,113,470,398,70,101,35,1,13,42,4,0,65,86,.254,.362,.445,.806,131,.361,134,177,4,4,0,3,0,2D/H,"MVP-12,ROY-2"
2,Ryan Mountcastle,25,1B,1.6,145,609,555,62,139,28,1,22,85,4,1,43,154,.250,.305,.423,.729,108,.318,105,235,12,4,0,7,1,*3D/H,
3,Rougned Odor*,28,2B,-0.3,135,472,426,49,88,19,3,13,53,6,1,32,109,.207,.275,.357,.632,81,.283,78,152,9,10,0,4,1,*4H/5D,
4,Jorge Mateo,27,SS,3.7,150,533,494,63,109,25,7,13,50,35,9,27,147,.221,.267,.379,.646,84,.293,81,187,8,5,3,2,0,*6/H,
5,Ramón Urías,28,3B,3.8,118,445,403,50,100,17,1,16,51,1,0,30,98,.248,.305,.414,.720,105,.321,107,167,7,5,3,4,1,54/6HD,GG
6,Austin Hays,26,LF,2.9,145,582,535,66,134,35,2,16,60,2,4,34,114,.250,.306,.413,.719,105,.321,109,221,11,10,0,3,0,*79/8DH,
7,Cedric Mullins*,27,CF,4.0,156,672,608,89,157,32,4,16,64,34,10,47,126,.258,.318,.403,.721,107,.326,107,245,4,9,1,5,2,*8/HD,
8,Anthony Santander#,27,RF,2.1,152,647,574,78,138,24,0,33,89,0,2,55,122,.240,.318,.455,.773,120,.338,121,261,14,13,0,5,1,*97D/H,
9,Trey Mancini,30,DH,1.9,92,401,354,39,95,16,1,10,41,0,0,35,86,.268,.347,.404,.751,116,.343,123,143,4,9,0,3,2,D39/7H,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
10,Robinson Chirinos,38,C,0.1,67,220,195,10,35,9,0,4,22,1,0,19,67,.179,.265,.287,.552,60,.269,68,56,4,4,1,1,0,2/H,
11,Tyler Nevin,25,3B,-0.5,58,184,157,17,31,4,0,2,16,0,0,20,46,.197,.299,.261,.560,64,.276,75,41,4,4,0,3,0,5/3D79,
12,Ryan McKenna,25,OF,0.4,104,172,156,23,37,10,0,2,11,2,1,11,55,.237,.294,.340,.634,83,.287,82,53,3,2,2,1,1,79H8/D1,
13,Gunnar Henderson*,21,3B,1.0,34,132,116,12,30,7,1,4,18,1,1,16,34,.259,.348,.440,.788,126,.348,128,51,1,0,0,0,1,5/6DH4,
14,Terrin Vavra*,25,UT,0.0,40,103,89,14,23,2,1,1,12,0,1,12,19,.258,.340,.337,.677,97,.298,94,30,2,0,0,2,0,47/HD9,
15,Kyle Stowers*,24,OF,-0.1,34,98,91,11,23,4,1,3,11,0,0,5,29,.253,.306,.418,.724,106,.317,104,38,3,2,0,0,0,79/HD,
16,Chris Owings,30,UT,-0.5,26,68,56,6,6,2,0,0,0,1,0,10,24,.107,.254,.143,.397,19,.205,19,8,3,1,1,0,0,4/6H517,
17,Anthony Bemboom*,32,C,-0.3,22,59,52,4,6,2,0,1,1,0,0,6,17,.115,.207,.212,.418,21,.195,14,11,1,0,1,0,0,2/H,
18,Jesús Aguilar,32,DH,-0.3,16,51,49,2,11,1,0,1,2,0,0,1,13,.224,.240,.306,.546,56,.242,49,15,0,0,0,0,0,/D3H,
19,Kelvin Gutiérrez,27,3B,-0.3,12,33,28,2,4,1,0,0,3,1,0,4,8,.143,.250,.179,.429,27,.239,40,5,1,0,0,0,0,5/HD,
20,Richie Martin,27,MI,0.0,13,33,30,4,5,0,2,0,3,3,1,3,10,.167,.242,.300,.542,56,.249,50,9,0,0,0,0,0,4/6HD,
21,Jonathan Araúz#,23,IF,-0.1,9,29,28,2,5,0,0,1,4,0,0,1,9,.179,.207,.286,.493,40,.250,55,8,0,0,0,0,0,/546H,
22,Brett Phillips*,28,OF,-0.1,8,17,17,1,2,2,0,0,1,0,0,0,9,.118,.118,.235,.353,-2,.148,-18,4,0,0,0,0,0,/7H9D,
23,Rylan Bannon,26,3B,-0.2,4,15,14,0,2,0,0,0,0,0,0,0,5,.143,.200,.143,.343,2,.228,39,2,0,1,0,0,0,/5D,
24,DJ Stewart*,28,,,3,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,.000,-124,0,0,0,0,0,0,/H,
25,Yusniel Díaz,25,RF,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-127,0,0,0,0,0,0,/9H,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
26,Cionel Pérez,26,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
27,Jake Reed,29,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,
28,Félix Bautista,27,P,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
29,Rico Garcia,28,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,
30,Dillon Tate,28,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
31,Joey Krehbiel,29,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,
32,Jorge López,29,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,AS
,Team Totals,,,24.3,162,6049,5429,674,1281,275,25,171,639,95,31,476,1390,.236,.305,.390,.695,99,.313,100,2119,95,83,12,43,10,,
