Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
1,Reid Detmers*,23,SP,2.2,4,10,.286,4.48,28,28,0,0,0,0,148.2,141,81,74,19,60,2,168,13,0,7,644,100,4.13,1.352,8.5,1.2,3.6,10.2,2.80,
2,Patrick Sandoval*,26,SP,0.4,7,13,.350,4.11,28,28,0,0,0,0,144.2,145,89,66,12,74,2,128,4,0,5,652,109,4.18,1.514,9.0,0.7,4.6,8.0,1.73,
3,Tyler Anderson*,33,SP,0.2,6,6,.500,5.43,27,25,0,0,0,0,141.0,146,90,85,20,64,1,119,7,2,6,629,82,4.92,1.489,9.3,1.3,4.1,7.6,1.86,
4,Shohei Ohtani,28,SP,3.9,10,5,.667,3.14,23,23,0,1,1,0,132.0,85,50,46,18,55,0,167,11,0,12,531,142,4.00,1.061,5.8,1.2,3.8,11.4,3.04,"AS,MVP-1,SS"
5,Griffin Canning,27,SP,2.0,7,8,.467,4.32,24,22,0,0,0,0,127.0,121,62,61,22,36,1,139,5,0,4,536,103,4.29,1.236,8.6,1.6,2.6,9.9,3.86,
Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
6,Carlos Estévez,30,CL,0.6,5,5,.500,3.90,63,0,49,0,0,31,62.1,62,34,27,7,31,5,78,5,0,1,281,115,3.94,1.492,9.0,1.0,4.5,11.3,2.52,AS
7,Jaime Barria,26,RP,-0.9,2,6,.250,5.68,34,6,17,0,0,0,82.1,91,63,52,20,30,6,62,2,1,4,362,79,6.07,1.470,9.9,2.2,3.3,6.8,2.07,
8,Aaron Loup*,35,RP,-0.6,2,3,.400,6.10,55,0,21,0,0,1,48.2,65,37,33,6,20,4,45,2,1,2,231,73,4.36,1.747,12.0,1.1,3.7,8.3,2.25,
9,Matt Moore*,34,RP,1.5,4,1,.800,2.66,41,0,4,0,0,0,44.0,33,14,13,6,12,2,49,2,0,1,175,169,3.76,1.023,6.8,1.2,2.5,10.0,4.08,
10,José Soriano,24,RP,0.4,1,3,.250,3.64,38,0,6,0,0,0,42.0,33,22,17,4,23,2,56,7,1,2,185,123,3.97,1.333,7.1,0.9,4.9,12.0,2.43,
Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
11,Chase Silseth,23,,0.8,4,1,.800,3.96,16,8,3,0,0,0,52.1,41,26,23,9,26,0,56,2,1,5,221,113,4.96,1.280,7.1,1.5,4.5,9.6,2.15,
12,Andrew Wantz,27,,0.4,2,0,1.000,3.89,27,3,5,0,0,0,39.1,28,18,17,4,15,1,33,1,0,0,160,115,4.12,1.093,6.4,0.9,3.4,7.6,2.20,
13,José Suarez*,25,,-1.0,1,3,.250,8.29,11,7,0,0,0,0,33.2,46,32,31,10,20,1,28,1,0,2,165,54,7.32,1.960,12.3,2.7,5.3,7.5,1.40,
14,Chris Devenski,32,,-0.1,3,2,.600,5.08,29,0,4,0,0,0,33.2,31,20,19,5,9,1,33,1,0,1,140,89,4.12,1.188,8.3,1.3,2.4,8.8,3.67,
15,Kenny Rosenberg*,27,,0.7,2,2,.500,3.82,7,3,1,0,0,0,33.0,35,14,14,3,14,1,29,1,1,0,146,118,4.04,1.485,9.5,0.8,3.8,7.9,2.07,
16,Lucas Giolito,28,,-0.4,1,5,.167,6.89,6,6,0,0,0,0,32.2,33,28,25,10,15,2,34,3,0,0,149,65,6.81,1.469,9.1,2.8,4.1,9.4,2.27,
17,Tucker Davidson*,27,,-0.5,1,1,.500,6.54,18,0,8,0,0,2,31.2,44,25,23,2,11,0,31,2,0,3,148,69,3.35,1.737,12.5,0.6,3.1,8.8,2.82,
18,Jacob Webb,29,,0.6,1,1,.500,3.98,29,0,4,0,0,1,31.2,23,14,14,6,20,3,34,2,0,1,140,113,5.66,1.358,6.5,1.7,5.7,9.7,1.70,
19,Jimmy Herget,29,,0.2,2,4,.333,4.66,29,1,6,0,0,0,29.0,33,15,15,7,8,3,26,2,0,0,127,97,5.63,1.414,10.2,2.2,2.5,8.1,3.25,
20,Sam Bachman,23,,0.4,1,2,.333,3.18,11,0,4,0,0,1,17.0,17,7,6,0,11,1,14,1,0,3,77,143,3.73,1.647,9.0,0.0,5.8,7.4,1.27,
21,Reynaldo López,29,,0.6,0,2,.000,2.77,13,0,3,0,0,2,13.0,12,4,4,1,8,1,19,1,0,1,60,165,3.41,1.538,8.3,0.7,5.5,13.2,2.38,
22,Dominic Leone,31,,0.0,0,0,,5.54,11,0,3,0,0,1,13.0,15,8,8,2,9,1,11,0,0,2,61,83,5.64,1.846,10.4,1.4,6.2,7.6,1.22,
23,Davis Daniel,26,,0.5,1,1,.500,2.19,3,0,1,0,0,0,12.1,7,3,3,1,9,0,9,0,0,1,52,209,5.04,1.297,5.1,0.7,6.6,6.6,1.00,
24,Ben Joyce,22,,0.0,1,1,.500,5.40,12,0,0,0,0,0,10.0,9,6,6,1,9,0,10,1,0,1,48,85,5.56,1.800,8.1,0.9,8.1,9.0,1.11,
25,Carson Fulmer,29,,0.3,1,1,.500,2.70,3,1,1,0,0,0,10.0,6,3,3,1,4,0,6,1,1,1,39,171,4.86,1.000,5.4,0.9,3.6,5.4,1.50,
26,Gerardo Reyes,30,,-0.2,0,0,,7.45,8,0,1,0,0,0,9.2,11,9,8,2,6,0,10,2,0,2,49,62,6.36,1.759,10.2,1.9,5.6,9.3,1.67,
27,José Marte,27,,-0.4,0,0,,8.68,10,0,0,0,0,0,9.1,14,10,9,3,7,0,7,0,0,1,48,53,8.18,2.250,13.5,2.9,6.8,6.8,1.00,
28,José Quijada*,27,,-0.3,0,1,.000,6.00,10,0,4,0,0,4,9.0,8,7,6,0,3,0,8,2,0,0,41,77,3.14,1.222,8.0,0.0,3.0,8.0,2.67,
29,Ryan Tepera,35,,-0.6,2,2,.500,7.27,10,0,2,0,0,0,8.2,15,9,7,2,3,1,10,2,0,0,46,64,5.68,2.077,15.6,2.1,3.1,10.4,3.33,
30,Jhonathan Díaz*,26,,-0.4,0,0,,10.29,4,1,2,0,0,0,7.0,13,11,8,0,7,0,4,2,0,0,42,45,5.97,2.857,16.7,0.0,9.0,5.1,0.57,
31,Kolton Ingram*,26,,-0.2,0,0,,8.44,5,0,2,0,0,0,5.1,8,7,5,2,5,0,7,0,0,0,30,56,8.32,2.438,13.5,3.4,8.4,11.8,1.40,
32,Zack Weiss,31,,0.0,1,0,1.000,5.06,6,0,0,0,0,0,5.1,6,3,3,2,2,0,7,1,0,0,25,94,7.19,1.500,10.1,3.4,3.4,11.8,3.50,
33,Eduardo Escobar,34,,0.0,0,0,,2.45,3,0,3,0,0,0,3.2,2,2,1,0,1,0,0,1,0,0,16,198,4.89,0.818,4.9,0.0,2.5,0.0,0.00,
34,Víctor Mederos,22,,-0.1,0,0,,9.00,3,0,2,0,0,0,3.0,5,3,3,0,3,0,3,1,0,0,17,55,5.26,2.667,15.0,0.0,9.0,9.0,1.00,
35,Austin Warren,27,,0.0,1,0,1.000,5.40,2,0,1,0,0,0,1.2,2,1,1,1,0,0,2,0,0,0,6,99,8.66,1.200,10.8,5.4,0.0,10.8,,
36,Reyes Moronta,30,,0.0,0,0,,6.75,2,0,0,0,0,0,1.1,4,1,1,1,3,0,2,0,0,1,11,83,16.76,5.250,27.0,6.8,20.3,13.5,0.67,
37,Kelvin Cáceres,23,,0.0,0,0,,6.75,2,0,2,0,0,0,1.1,2,1,1,0,2,0,1,0,0,1,8,83,6.26,3.000,13.5,0.0,13.5,6.8,0.50,
