Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
1,Austin Hedges,24,C,0.7,120,417,387,36,83,17,0,18,55,4,1,23,122,.214,.262,.398,.660,73,.281,65,154,10,3,1,3,3,*2/HD,
2,Wil Myers,26,1B,2.1,155,649,567,80,138,29,3,30,74,20,6,70,180,.243,.328,.464,.792,109,.349,112,263,15,5,0,7,3,*3/4DH,
3,Carlos Asuaje*,25,2B,0.6,89,343,307,28,83,14,1,4,21,0,1,28,76,.270,.334,.362,.696,87,.311,88,111,6,2,5,1,0,4/H3,
4,Erick Aybar#,33,SS,-0.2,108,370,333,37,78,15,1,7,22,11,4,28,57,.234,.300,.348,.648,73,.294,73,116,5,4,3,2,2,6H/1,
5,Cory Spangenberg*,26,3B,0.2,129,486,444,57,117,18,2,13,46,11,3,34,128,.264,.322,.401,.723,92,.322,93,178,2,5,2,1,1,57/H4,
6,José Pirela,27,LF,2.1,83,344,312,43,90,25,4,10,40,4,3,27,71,.288,.347,.490,.837,121,.360,124,153,8,2,1,2,0,7/439HD5,
7,Manuel Margot,22,CF,2.3,126,529,487,53,128,18,7,13,39,17,7,35,106,.263,.313,.409,.721,91,.322,94,199,6,2,1,4,0,*8/H,ROY-6
8,Hunter Renfroe,25,RF,0.7,122,479,445,51,103,25,1,26,58,3,0,27,140,.231,.284,.467,.751,96,.327,98,208,4,6,0,1,1,*9/HD,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
9,Yangervis Solarte#,29,IF,1.0,128,512,466,49,119,21,0,18,64,3,0,37,61,.255,.314,.416,.731,94,.321,93,194,18,5,0,4,4,465/3HD,
10,Allen Córdoba,21,UT,-0.5,100,227,202,17,42,2,2,4,15,2,2,18,54,.208,.282,.297,.579,56,.256,49,60,2,4,0,3,1,7H6/8594,
11,Matt Szczur,27,OF,0.4,104,214,176,26,40,11,2,3,15,0,2,32,40,.227,.358,.364,.722,95,.323,99,64,2,4,2,0,0,7H89,
12,Ryan Schimpf*,29,3B,0.5,53,197,165,24,26,2,0,14,25,0,0,27,70,.158,.284,.424,.709,86,.308,85,70,0,3,0,2,0,5/HD,
13,Jabari Blash,27,RF,-0.2,61,195,164,24,35,6,0,5,16,1,2,28,66,.213,.333,.341,.675,82,.308,88,56,5,2,0,1,0,97H,
14,Héctor Sánchez#,27,C,-0.6,75,143,137,14,30,4,0,8,25,0,0,5,41,.219,.245,.423,.668,74,.279,64,58,4,0,0,1,1,H2/3D,
15,Luis Torrens,21,C,-1.2,56,139,123,7,20,3,1,0,7,0,0,12,30,.163,.243,.203,.446,22,.205,7,25,4,1,3,0,3,2/H,
16,Franchy Cordero*,22,CF,0.2,30,99,92,15,21,3,3,3,9,1,1,6,44,.228,.276,.424,.699,83,.294,76,39,0,0,1,0,0,8/H7,
17,Travis Jankowski*,26,LF,-0.2,27,87,75,10,14,2,0,0,1,4,0,9,28,.187,.282,.213,.496,36,.248,32,16,2,1,2,0,0,7/89H,
18,Dusty Coleman,30,SS,0.5,27,71,66,6,15,3,0,4,9,1,0,2,33,.227,.268,.455,.722,88,.307,81,30,1,2,0,1,0,6/H,
19,Luis Sardiñas#,24,IF,-0.4,29,53,49,3,8,0,0,0,1,1,0,4,11,.163,.226,.163,.390,7,.202,6,8,1,0,0,0,0,H/4651,
20,Chase d'Arnaud,30,IF,-0.5,22,51,49,5,7,2,0,1,3,5,1,2,17,.143,.176,.245,.421,11,.188,-13,12,0,0,0,0,1,6/H4539,
21,Christian Villanueva,26,3B,0.6,12,32,32,5,11,1,0,4,7,0,0,0,10,.344,.344,.750,1.094,181,.501,224,24,0,0,0,0,0,/5H,
22,Rocky Gale,29,C,-0.1,3,10,10,1,1,0,0,1,2,0,0,0,2,.100,.100,.400,.500,24,.198,5,4,0,0,0,0,0,/2,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
23,Clayton Richard*,33,P,0.1,31,68,57,2,7,1,0,1,4,0,0,1,31,.123,.167,.193,.360,-4,.164,-34,11,0,2,8,0,0,1,
24,Jhoulys Chacín,29,P,0.3,33,61,54,0,12,2,0,0,4,1,0,0,11,.222,.222,.259,.481,29,.231,17,14,2,0,7,0,0,1/H,
25,Luis Perdomo,24,P,0.1,27,53,46,3,5,1,4,0,3,0,0,1,20,.109,.128,.304,.432,10,.173,-26,14,1,0,6,0,0,1,
26,Dinelson Lamet,24,P,-0.2,19,38,35,0,3,0,0,0,0,0,0,0,22,.086,.086,.086,.171,-54,.077,-97,3,0,0,3,0,0,1,
27,Travis Wood,30,P,0.3,11,17,17,3,4,0,0,2,6,0,0,0,7,.235,.235,.588,.824,110,.391,144,10,0,0,0,0,0,1/H,
