Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
1,Sandy Alcántara,26,SP,8.0,14,9,.609,2.28,32,32,0,6,1,0,228.2,174,67,58,16,50,1,207,9,0,3,886,180,2.99,0.980,6.8,0.6,2.0,8.1,4.14,"AS,CYA-1,MVP-10"
2,Pablo López,26,SP,3.0,10,10,.500,3.75,32,32,0,0,0,0,180.0,157,78,75,21,53,1,174,8,0,4,736,109,3.71,1.167,7.9,1.1,2.7,8.7,3.28,
3,Trevor Rogers*,24,SP,-0.6,4,11,.267,5.47,23,23,0,0,0,0,107.0,116,69,65,15,45,0,106,5,0,5,477,75,4.35,1.505,9.8,1.3,3.8,8.9,2.36,
4,Jesús Luzardo*,24,SP,2.0,4,7,.364,3.32,18,18,0,0,0,0,100.1,69,40,37,10,35,0,120,2,0,5,400,124,3.12,1.037,6.2,0.9,3.1,10.8,3.43,
5,Braxton Garrett*,24,SP,1.3,3,7,.300,3.58,17,17,0,0,0,0,88.0,86,38,35,9,24,1,90,10,0,2,373,115,3.56,1.250,8.8,0.9,2.5,9.2,3.75,
6,Edward Cabrera,24,SP,2.1,6,4,.600,3.01,14,14,0,0,0,0,71.2,44,24,24,10,33,0,75,9,0,2,291,137,4.59,1.074,5.5,1.3,4.1,9.4,2.27,
7,Tanner Scott*,27,CL,0.1,4,5,.444,4.31,67,0,35,0,0,20,62.2,55,34,30,5,46,1,90,4,0,3,289,96,3.67,1.612,7.9,0.7,6.6,12.9,1.96,
8,Dylan Floro,31,RP,0.8,1,3,.250,3.02,56,0,23,0,0,10,53.2,48,23,18,4,15,3,48,0,0,1,220,137,3.13,1.174,8.0,0.7,2.5,8.0,3.20,
9,Steven Okert*,30,RP,1.0,5,5,.500,2.98,60,0,5,0,0,0,51.1,34,19,17,7,26,2,63,7,0,1,221,138,4.36,1.169,6.0,1.2,4.6,11.0,2.42,
10,Richard Bleier*,35,RP,0.6,2,2,.500,3.55,55,1,12,0,0,1,50.2,63,22,20,3,10,3,32,1,3,3,222,116,3.27,1.441,11.2,0.5,1.8,5.7,3.20,
11,Anthony Bass,34,RP,1.7,2,3,.400,1.41,45,0,7,0,0,0,44.2,32,10,7,1,10,0,45,0,0,1,173,293,2.06,0.940,6.4,0.2,2.0,9.1,4.50,
12,Elieser Hernández,27,,-1.1,3,6,.333,6.35,20,10,4,0,0,0,62.1,67,48,44,19,22,1,60,4,0,1,278,65,6.40,1.428,9.7,2.7,3.2,8.7,2.73,
13,Tommy Nance,31,,0.3,2,3,.400,4.33,35,2,8,0,0,0,43.2,45,22,21,5,21,3,57,4,0,5,196,95,3.71,1.511,9.3,1.0,4.3,11.7,2.71,
14,Daniel Castano*,27,,0.1,1,3,.250,4.04,10,7,3,0,0,0,35.2,42,20,16,5,9,0,20,2,0,2,156,102,4.74,1.430,10.6,1.3,2.3,5.0,2.22,
15,Cole Sulser,32,,-0.5,1,4,.200,5.29,39,0,14,0,0,2,34.0,39,23,20,6,16,1,38,0,0,0,149,78,4.58,1.618,10.3,1.6,4.2,10.1,2.38,
16,Huascar Brazobán,32,,0.7,1,1,.500,3.09,27,0,2,0,0,0,32.0,26,13,11,3,21,1,40,2,0,7,141,134,3.99,1.469,7.3,0.8,5.9,11.3,1.90,
17,Cody Poteet,27,,0.3,0,1,.000,3.86,12,2,2,0,0,0,28.0,23,12,12,4,11,0,21,0,0,1,114,108,4.65,1.214,7.4,1.3,3.5,6.8,1.91,
18,Jeff Brigham,30,,0.4,0,1,.000,3.38,16,0,2,0,0,1,24.0,22,10,9,3,10,0,28,0,0,1,101,123,3.65,1.333,8.3,1.1,3.8,10.5,2.80,
19,Louis Head,32,,-0.5,0,0,,7.23,23,0,7,0,0,1,23.2,26,19,19,4,11,1,23,4,0,1,111,58,5.27,1.563,9.9,1.5,4.2,8.7,2.09,
20,Zach Pop,25,,0.2,2,0,1.000,3.60,18,0,6,0,0,0,20.0,23,9,8,1,2,0,14,1,0,1,83,116,2.81,1.250,10.4,0.5,0.9,6.3,7.00,
21,Anthony Bender,27,,0.4,1,3,.250,3.26,22,0,11,0,0,6,19.1,17,7,7,3,8,0,17,1,0,1,78,128,4.77,1.293,7.9,1.4,3.7,7.9,2.13,
22,Andrew Nardi*,23,,-0.7,1,1,.500,9.82,13,0,5,0,0,0,14.2,25,17,16,5,14,0,24,0,0,1,83,43,7.13,2.659,15.3,3.1,8.6,14.7,1.71,
23,Bryan Hoeing,25,,-0.8,1,1,.500,12.08,8,1,0,0,0,0,12.2,19,17,17,5,5,0,6,0,0,1,61,35,8.48,1.895,13.5,3.6,3.6,4.3,1.20,
24,Jake Fishman*,27,,0.1,0,0,,4.09,7,0,2,0,0,0,11.0,13,5,5,0,0,0,6,3,0,0,48,103,2.84,1.182,10.6,0.0,0.0,4.9,,
25,Jimmy Yacabonis,30,,-0.3,1,1,.500,6.75,9,0,3,0,0,0,9.1,12,8,7,3,5,0,15,0,0,1,45,63,5.68,1.821,11.6,2.9,4.8,14.5,3.00,
26,Shawn Armstrong,31,,-0.4,0,0,,10.80,7,0,1,0,0,0,6.2,10,10,8,1,3,0,5,0,0,1,34,40,4.91,1.950,13.5,1.4,4.1,6.8,1.67,
27,Max Meyer,23,,-0.1,0,1,.000,7.50,2,2,0,0,0,0,6.0,7,5,5,2,2,0,6,0,0,0,26,58,6.45,1.500,10.5,3.0,3.0,9.0,3.00,
28,Nick Neidert,25,,0.2,0,1,.000,3.60,1,1,0,0,0,0,5.0,5,2,2,1,0,0,3,0,0,0,20,122,4.51,1.000,9.0,1.8,0.0,5.4,,
